"","Site_code","Date","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM"
"1","DC 1",2000-01-01,2000,451.6849976,9.1239996,1.072,5.0970001,0.471,4.3699999
"2","DC 1",2000-02-01,2000,624.2849731,9.2670002,1.363,5.3150001,0.355,3.9159999
"3","DC 1",2000-03-01,2000,128.2359924,13.5699997,1.396,7.4820004,0.636,8.21
"4","DC 1",2000-04-01,2000,87.8190002,17.7929993,4.1590004,10.9750004,2.128,14.0310001
"5","DC 1",2000-05-01,2000,103.5960007,20.8859997,7.8220005,14.354001,2.437,15.9989996
"6","DC 1",2000-06-01,2000,18.7910004,27.8999996,13.1990004,20.5490017,6.1199999,27.309
"7","DC 1",2000-07-01,2000,0,28.0450001,12.6730003,20.3590012,7.1339998,29.8880005
"8","DC 1",2000-08-01,2000,0,30.3889999,14.6260004,22.5070019,9.5939999,36.1110001
"9","DC 1",2000-09-01,2000,51.4620018,25.3099995,10.6490002,17.9790001,5.072,24.7950001
"10","DC 1",2000-10-01,2001,167.121994,18.6889992,7.1420002,12.9150009,3.6589999,15.8100004
"11","DC 1",2000-11-01,2001,52.3310013,11.599,1.123,6.3610005,1.314,8.559
"12","DC 1",2000-12-01,2001,93.711998,11.6599998,2.6140001,7.1360002,2.391,10.1529999
"13","DC 1",2001-01-01,2001,161.3829956,10.526,-0.254,5.1360002,2.063,9.0539999
"14","DC 1",2001-02-01,2001,246.6369934,8.3789997,-0.9820001,3.6980002,0.927,6.3969998
"15","DC 1",2001-03-01,2001,111.7919998,15.849,3.21,9.5290003,1.178,11.3660002
"16","DC 1",2001-04-01,2001,140.2740021,14.191,1.4630001,7.8270001,1.04,10.7110004
"17","DC 1",2001-05-01,2001,2.7309999,26.6560001,11.6750002,19.1650009,7.066,27.7779999
"18","DC 1",2001-06-01,2001,5.7449999,27.1240005,12.5950003,19.8590012,7.723,29.2310009
"19","DC 1",2001-07-01,2001,0,30.0639992,14.6280003,22.3450012,7.9320002,33.7900009
"20","DC 1",2001-08-01,2001,0,31.6100006,15.000001,23.3050003,9.9589996,39.4020004
"21","DC 1",2001-09-01,2001,16.4589996,28.6170006,12.8260002,20.7210007,7.3590002,31.5310001
"22","DC 1",2001-10-01,2002,48.4000015,24.3700008,10.3660002,17.368,7.6100001,25.5690002
"23","DC 1",2001-11-01,2002,287.9370117,13.4969997,5.0150003,9.2560005,1.793,8.835
"24","DC 1",2001-12-01,2002,509.1830139,7.1849999,0.21,3.6970003,0.542,4.197
"25","DC 1",2002-01-01,2002,175.3869934,8.6899996,-1.024,3.8320003,1.301,6.868
